Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
11744,P336966.3.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,,P336966,3,1,,seal identification
11745,P336966.3.2,%akk-x-neoass:{MI₂}TUR=,{[mi₂}TUR,"['𒊩', '𒌉']",𒊩𒌉,{[MI₂]}[TUR],"['missing', 'missing']",1.0,,P336966,3,2,,seal identification
11746,P336966.3.3,%akk-x-neoass:SUM-ni=,SUM-ni],"['𒋧', '𒉌']",𒋧𒉌,[SUM-ni],"['missing', 'missing']",1.0,,P336966,3,3,,seal identification
11747,P336966.4.1,%akk-x-neoass:{MI₂}a-ha-a-ti-x=,{mi₂}a-ha-a-⸢ti⸣-[x,"['𒊩', '𒀀', '𒄩', '𒀀', '𒋾', 'X']",𒊩𒀀𒄩𒀀𒋾X,{MI₂}a-ha-a-⸢ti⸣-[x],"['complete', 'complete', 'complete', 'complete', 'damaged', 'missing']",0.25,,P336966,4,1,,object sold
11748,P336966.4.2,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P336966,4,2,,object sold
11749,P336966.4.3,%akk-x-neoass:{MI₂}TUR=,{mi₂}TUR],"['𒊩', '𒌉']",𒊩𒌉,{[MI₂]}[TUR],"['missing', 'missing']",1.0,,P336966,4,3,,object sold
11750,P336966.5.1,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P336966,5,1,,object sold
11751,P336966.5.2,%akk-x-neoass:{1}za-ba-ba-KALAG=,{1}za-ba-ba-KALAG,"['𒁹', '𒍝', '𒁀', '𒁀', '𒆗']",𒁹𒍝𒁀𒁀𒆗,{1}za-ba-ba-KALAG,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336966,5,2,,object sold
11752,P336966.6.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,P336966,6,1,,initiation of transaction
11753,P336966.6.2,%akk-x-neoass:{1}aš-šur-PAB-ir=,{1}aš-šur-PAB-ir,"['𒁹', '𒀸', '𒋩', '𒉽', '𒅕']",𒁹𒀸𒋩𒉽𒅕,{1}aš-šur-PAB-ir,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336966,6,2,,initiation of transaction
11754,P336966.7.1,%akk-x-neoass:ina=,ina,['𒀸'],𒀸,ina,['complete'],0.0,,P336966,7,1,,completion of transaction
11755,P336966.7.2,%akk-x-neoass:ŠA₃=,ŠA₃,['𒊮'],𒊮,ŠA₃,['complete'],0.0,,P336966,7,2,,completion of transaction
11756,P336966.7.3,%akk-x-neoass:10=,10,['𒌋'],𒌋,⸢10⸣,['damaged'],0.5,,P336966,7,3,,completion of transaction
11757,P336966.7.4,%akk-x-neoass:MA.NA=,MA⸣.NA,"['𒈠', '𒈾']",𒈠𒈾,⸢MA⸣.NA,"['damaged', 'complete']",0.25,,P336966,7,4,,completion of transaction
11758,P336966.7.5,%akk-x-neoass:URUDU=,URUDU,['𒍏'],𒍏,URUDU,['complete'],0.0,,P336966,7,5,,completion of transaction
11759,P336966.8.1,%akk-x-neoass:i-šim=,i-šim,"['𒄿', '𒋆']",𒄿𒋆,i-šim,"['complete', 'complete']",0.0,,P336966,8,1,,completion of transaction
11760,P336966.8.2,%akk-x-neoass:{MI₂}TUR=,{mi₂}TUR,"['𒊩', '𒌉']",𒊩𒌉,{MI₂}TUR,"['complete', 'complete']",0.0,,P336966,8,2,,confirmation of transfer 2
11761,P336966.9.1,%akk-x-neoass:za-ar-pat=,za-ar-pat,"['𒍝', '𒅈', '𒉻']",𒍝𒅈𒉻,za-ar-pat,"['complete', 'complete', 'complete']",0.0,,P336966,9,1,,confirmation of transfer 2
