Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
17297,P337053.3.1,%akk-x-neoass:ina=,[ina,['𒀸'],𒀸,[ina],['missing'],1.0,,P337053,3,1,,price
17298,P337053.3.2,%akk-x-neoass:ŠA₃-bi=,ŠA₃-bi,"['𒊮', '𒁉']",𒊮𒁉,[ŠA₃-bi],"['missing', 'missing']",1.0,,P337053,3,2,,price
17299,P337053.3.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,,P337053,3,3,,price
17300,P337053.3.4,%akk-x-neoass:GIN₂-MEŠ=,GIN₂]-MEŠ,"['𒂆', '𒈨𒌍']",𒂆𒈨𒌍,[GIN₂]-MEŠ,"['missing', 'complete']",0.5,,P337053,3,4,,price
17301,P337053.3.5,%akk-x-neoass:KU₃.BABBAR=,⸢KU₃.BABBAR,"['𒆬', '𒌓']",𒆬𒌓,⸢KU₃⸣.⸢BABBAR⸣,"['damaged', 'damaged']",0.5,,P337053,3,5,,price
17302,P337053.3.6,%akk-x-neoass:il-qi₂=,il-qi₂⸣,"['𒅋', '𒆠']",𒅋𒆠,⸢il-qi₂⸣,"['damaged', 'damaged']",0.5,,P337053,3,6,,completion of transaction
17303,P337053.4.1,%akk-x-neoass:kas-pu=,[kas-pu,"['𒆜', '𒁍']",𒆜𒁍,[kas-pu],"['missing', 'missing']",1.0,,P337053,4,1,,confirmation of transfer 1
17304,P337053.4.2,%akk-x-neoass:gam-mur=,gam]-⸢mur⸣,"['𒃵', '𒄯']",𒃵𒄯,[gam]-⸢mur⸣,"['missing', 'damaged']",0.75,,P337053,4,2,,confirmation of transfer 1
17305,P337053.4.3,%akk-x-neoass:ta-din=,ta-din,"['𒋫', '𒁷']",𒋫𒁷,ta-din,"['complete', 'complete']",0.0,,P337053,4,3,,confirmation of transfer 1
17306,P337053.5.1,%akk-x-neoass:MI₂=,[MI₂,['𒊩'],𒊩,[MI₂],['missing'],1.0,,P337053,5,1,,confirmation of transfer 2
