Unnamed: 0,ref,frag,inst,mask,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,lang,text,line,word,annotation
20436,P335515.3.1,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,1,none
20437,P335515.3.2,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,2,none
20438,P335515.3.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,3,none
20439,P335515.3.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,4,none
20440,P335515.3.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,5,none
20441,P335515.3.6,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,6,none
20442,P335515.3.7,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,7,none
20443,P335515.3.8,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,3,8,none
20444,P335515.3.9,x]+⸢x⸣,u,,u,"['x', 'x']",xx,[x]+⸢x⸣,"['missing', 'damaged']",0.75,,,,,P335515,3,9,none
20445,P335515.4.1,[x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,1,none
20446,P335515.4.2,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,2,none
20447,P335515.4.3,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,3,none
20448,P335515.4.4,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,4,none
20449,P335515.4.5,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,5,none
20450,P335515.4.6,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,6,none
20451,P335515.4.7,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,7,none
20452,P335515.4.8,x,u,,u,['x'],x,[x],['missing'],1.0,,,,,P335515,4,8,none
20453,P335515.4.9,x]-mis,u,,u,"['x', '𒈩']",x𒈩,[x]-mis,"['missing', 'complete']",0.5,,,,,P335515,4,9,none
