Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,lang,text,line,word,mask,annotation
4477,P336908.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{[na₄]}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{[NA₄]}KIŠIB,"['missing', 'complete']",0.5,,P336908,2,1,,seal identification
4478,P336908.2.2,%akk-x-neoass:{1}a-ba-x+x-na-a=,{1}a-ba-x+[x-na]-⸢a⸣,"['𒁹', '𒀀', '𒁀', 'X', 'X', '𒈾', '𒀀']",𒁹𒀀𒁀XX𒈾𒀀,{1}a-ba-x+[x-na]-⸢a⸣,"['complete', 'complete', 'complete', 'complete', 'missing', 'missing', 'damaged']",0.36,,P336908,2,2,,seal identification
4479,P336908.3.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,,P336908,3,1,,seal identification
4480,P336908.3.2,%akk-x-neoass:{1}a-hi-ia-a=,{1}a-hi-ia-⸢a⸣,"['𒁹', '𒀀', '𒄭', '𒅀', '𒀀']",𒁹𒀀𒄭𒅀𒀀,{1}a-hi-ia-⸢a⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,,P336908,3,2,,seal identification
4481,P336908.4.1,%akk-x-neoass:ta-SUM-ni=,⸢ta⸣-SUM-ni,"['𒋫', '𒋧', '𒉌']",𒋫𒋧𒉌,⸢ta⸣-SUM-ni,"['damaged', 'complete', 'complete']",0.17,,P336908,4,1,,seal identification
4482,P336908.7.1,%akk-x-neoass:{1}a-hi-ia-a=,{1}a-hi-ia-a,"['𒁹', '𒀀', '𒄭', '𒅀', '𒀀']",𒁹𒀀𒄭𒅀𒀀,{1}a-hi-ia-a,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336908,7,1,,object sold
4483,P336908.7.2,%akk-x-neoass:{LU₂}ARAD=,{lu₂}ARAD,"['𒇽', '𒀴']",𒇽𒀴,{LU₂}ARAD,"['complete', 'complete']",0.0,,P336908,7,2,,object sold
4484,P336908.8.1,%akk-x-neoass:ina=,((ina)),['𒀸'],𒀸,ina,['complete'],0.0,,P336908,8,1,,object sold
4485,P336908.8.2,%akk-x-neoass:ša=,ša,['𒊭'],𒊭,ša,['complete'],0.0,,P336908,8,2,,object sold
4486,P336908.8.3,%akk-x-neoass:{1}a-bal-ba-na-a=,{1}a-bal-ba-na-a,"['𒁹', '𒀀', '𒁄', '𒁀', '𒈾', '𒀀']",𒁹𒀀𒁄𒁀𒈾𒀀,{1}a-bal-ba-na-a,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,,P336908,8,3,,object sold
4487,P336908.9.1,%akk-x-neoass:u₂-piš-ma=,u₂-piš-ma,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,,P336908,9,1,,initiation of transaction
